a	rAma	puM
i 	hari	puM
u	guru	puM
f	pitf	puM
E	rE	puM
o	go	puM
O	glO	puM
c	payomuc	puM
j	vaRij	puM
t	marut	puM
d	suhft	puM
D	buD	puM
n	Atman 	puM
S	tAdfS	puM
s	candramas	puM
h	anaquh	puM
tfc	kartf	puM
at	Bavat	puM
in	karin	puM
vat	Bagavat	puM
mat	DImat	puM
vas	vidvas	puM
Iyas	Sreyas	puM
A	viSvapA	puM
I	grAmaRI	puM
U	svaBU	puM
A	ramA	strI
i	mati	strI
I	nadI	strI
u	Denu	strI
U	vaDU	strI
f	svasf	strI
E	rE	strI
o	go	strI
O	nO	strI
c	vAc	strI
j	sraj	strI
t	sarit	strI
d	Apad	strI
D	samiD	strI
n	sIman	strI
p	ap	strI
B	kakuB	strI
r	gir	strI
v	div	strI
S	diS	strI
z	prAvfz	strI
s	BAs	strI
h	upAnah	strI
a	Pala	napuM
i 	vAri	napuM
u	maDu	napuM
f	dAtf	napuM
c	suvAc	napuM
j	asfj	napuM
t	jagat	napuM
d	tudat	napuM
n	nAman	napuM
S	tAdfS	napuM
z	haviz	napuM
s	manas	napuM
h	amBoruh	napuM
